PPG,HR,RR,HRV,SpO2
18197.2079,66,20,58,51.1
18197.3853,0,0,0,0
18199.5334,0,0,0,0
18203.573,0,0,0,0
18209.384,0,0,0,0
18216.8092,0,0,0,0
18225.6596,0,0,0,0
18235.7203,0,0,0,0
18246.7577,0,0,0,0
18258.5263,0,0,0,0
18270.7766,0,0,0,0
18283.2623,0,0,0,0
18295.7481,0,0,0,0
18308.016,0,0,0,0
18319.872,0,0,0,0
18331.1509,0,0,0,0
18341.7208,0,0,0,0
18351.486,0,0,0,0
18360.389,0,0,0,0
18368.4103,0,0,0,0
18375.5683,0,0,0,0
18381.9164,0,0,0,0
18387.5398,0,0,0,0
18392.5507,0,0,0,0
18397.0834,0,0,0,0
18401.2871,0,0,0,0
18405.3199,0,0,0,0
18409.3412,0,0,0,0
18413.5046,0,0,0,0
18417.9512,0,0,0,0
18422.8028,0,0,0,0
18428.156,0,0,0,0
18434.0774,0,0,0,0
18440.5995,0,0,0,0
18447.7182,0,0,0,0
18455.3912,0,0,0,0
18463.5381,0,0,0,0
18472.0414,0,0,0,0
18480.7499,0,0,0,0
18489.4822,0,0,0,0
18498.0322,0,0,0,0
18506.1749,0,0,0,0
18513.6739,0,0,0,0
18520.2886,0,0,0,0
18525.7827,0,0,0,0
18529.9315,0,0,0,0
18532.5304,0,0,0,0
18533.402,0,0,0,0
18532.403,0,0,0,0
18529.4297,0,0,0,0
18524.4231,0,0,0,0
18517.3719,0,0,0,0
18508.3149,0,0,0,0
18497.3407,0,0,0,0
18484.5874,0,0,0,0
18470.2396,0,0,0,0
18454.5242,0,0,0,0
18437.7051,0,0,0,0
18420.0768,0,0,0,0
18401.956,0,0,0,0
18383.674,0,0,0,0
18365.5672,0,0,0,0
18347.968,0,0,0,0
18331.1957,0,0,0,0
18315.5475,0,0,0,0
18301.2901,0,0,0,0
18288.6528,0,0,0,0
18277.8204,0,0,0,0
18268.9284,0,0,0,0
18262.0596,0,0,0,0
18257.2418,0,0,0,0
18254.4471,0,0,0,0
18253.5937,0,0,0,0
18254.548,0,0,0,0
18257.1295,0,0,0,0
18261.1164,0,0,0,0
18266.2521,0,0,0,0
18272.2541,0,0,0,0
18278.822,0,0,0,0
18285.647,0,0,0,0
18292.4216,0,0,0,0
18298.8486,0,0,0,0
18304.6508,0,0,0,0
18309.5788,0,0,0,0
18313.419,0,0,0,0
18316.0001,0,0,0,0
18317.1979,0,0,0,0
18316.9394,0,0,0,0
18315.2048,0,0,0,0
18312.0278,0,0,0,0
18307.4951,0,0,0,0
18301.7432,0,0,0,0
18294.9545,0,0,0,0
18287.3517,0,0,0,0
18279.1913,0,0,0,0
18270.7555,0,0,0,0
18262.3444,0,0,0,0
18254.2666,0,0,0,0
18246.8304,0,0,0,0
18240.3348,0,0,0,0
18235.0607,0,0,0,0
18231.263,0,0,0,0
18229.1632,0,0,0,0
18107.8072,0,0,0,0
18111.3769,0,0,0,0
18118.5644,0,0,0,0
18129.2202,0,0,0,0
18143.1161,0,0,0,0
18159.9502,0,0,0,0
18179.3561,0,0,0,0
18200.912,0,0,0,0
18224.1523,0,0,0,0
18248.5804,0,0,0,0
18273.6821,0,0,0,0
18298.9394,0,0,0,0
18323.8445,0,0,0,0
18347.9133,0,0,0,0
18370.6979,0,0,0,0
18391.7982,0,0,0,0
18410.872,0,0,0,0
18427.6429,0,0,0,0
18441.9065,0,0,0,0
18453.534,0,0,0,0
18462.4741,0,0,0,0
18468.7519,0,0,0,0
18472.466,0,0,0,0
18473.7827,0,0,0,0
18472.9295,0,0,0,0
18470.1853,0,0,0,0
18465.8703,0,0,0,0
18460.3344,0,0,0,0
18453.9453,0,0,0,0
18447.0753,0,0,0,0
18440.0895,0,0,0,0
18433.3334,0,0,0,0
18427.1225,0,0,0,0
18421.7319,0,0,0,0
18417.3884,0,0,0,0
18414.2642,0,0,0,0
18412.4719,0,0,0,0
18412.0629,0,0,0,0
18413.0268,0,0,0,0
18415.2931,0,0,0,0
18418.7358,0,0,0,0
18423.1788,0,0,0,0
18428.4036,0,0,0,0
18434.1583,0,0,0,0
18440.1672,0,0,0,0
18446.1418,0,0,0,0
18451.7916,0,0,0,0
18456.8352,0,0,0,0
18461.0102,0,0,0,0
18464.0838,0,0,0,0
18465.8603,0,0,0,0
18466.1887,0,0,0,0
18464.9683,0,0,0,0
18462.1515,0,0,0,0
18457.7463,0,0,0,0
18451.815,0,0,0,0
18444.4723,0,0,0,0
18435.8807,0,0,0,0
18426.2448,0,0,0,0
18415.8033,0,0,0,0
18404.8204,0,0,0,0
18393.5761,0,0,0,0
18382.3558,0,0,0,0
18371.4402,0,0,0,0
18361.0946,0,0,0,0
18351.5592,0,0,0,0
18343.0407,0,0,0,0
18335.7045,0,0,0,0
18329.6684,0,0,0,0
18324.9989,0,0,0,0
18321.7081,0,0,0,0
18319.7541,0,0,0,0
18214.4116,0,0,0,0
18215.4663,0,0,0,0
18219.1584,0,0,0,0
18225.5603,0,0,0,0
18234.6686,0,0,0,0
18246.4023,0,0,0,0
18260.6029,0,0,0,0
18277.0374,0,0,0,0
18295.404,0,0,0,0
18315.3397,0,0,0,0
18336.4296,0,0,0,0
18358.219,0,0,0,0
18380.2264,0,0,0,0
18401.9568,0,0,0,0
18422.917,0,0,0,0
18442.6301,0,0,0,0
18460.6497,0,0,0,0
18476.5733,0,0,0,0
18490.055,0,0,0,0
18500.8156,0,0,0,0
18508.6513,0,0,0,0
18513.4402,0,0,0,0
18515.1453,0,0,0,0
18513.8163,0,0,0,0
18509.5873,0,0,0,0
18502.6729,0,0,0,0
18493.361,0,0,0,0
18482.0033,0,0,0,0
18469.0048,0,0,0,0
18454.8099,0,0,0,0
18439.8888,0,0,0,0
18424.722,0,0,0,0
18409.7855,0,0,0,0
18395.535,0,0,0,0
18382.3915,0,0,0,0
18370.7285,0,0,0,0
18360.8595,0,0,0,0
18353.0288,0,0,0,0
18347.404,0,0,0,0
18344.0706,0,0,0,0
18343.0308,0,0,0,0
18344.2035,0,0,0,0
18347.428,0,0,0,0
18352.4701,0,0,0,0
18359.0311,0,0,0,0
18366.7584,0,0,0,0
18375.2581,0,0,0,0
18384.1095,0,0,0,0
18392.88,0,0,0,0
18401.1408,0,0,0,0
18408.4821,0,0,0,0
18414.5281,0,0,0,0
18418.9509,0,0,0,0
18421.4825,0,0,0,0
18421.925,0,0,0,0
18420.1584,0,0,0,0
18416.1456,0,0,0,0
18409.935,0,0,0,0
18401.6596,0,0,0,0
18391.5334,0,0,0,0
18379.8451,0,0,0,0
18366.9487,0,0,0,0
18353.2523,0,0,0,0
18339.2044,0,0,0,0
18325.2787,0,0,0,0
18311.9582,0,0,0,0
18299.7182,0,0,0,0
18289.0096,0,0,0,0
18280.2429,0,0,0,0
18273.7728,0,0,0,0
18269.8851,0,0,0,0
18154.6604,0,0,0,0
18156.3704,0,0,0,0
18162.8385,0,0,0,0
18173.9769,0,0,0,0
18189.5703,0,0,0,0
18209.2807,0,0,0,0
18232.6572,0,0,0,0
18259.148,0,0,0,0
18288.1163,0,0,0,0
18318.8578,0,0,0,0
18350.6212,0,0,0,0
18382.6291,0,0,0,0
18414.1004,0,0,0,0
18444.272,0,0,0,0
18472.4209,0,0,0,0
18497.8842,0,0,0,0
18520.0776,0,0,0,0
18538.5114,0,0,0,0
18552.8035,0,0,0,0
18562.6899,0,0,0,0
18568.0304,0,0,0,0
18568.8115,0,0,0,0
18565.1454,0,0,0,0
18557.265,0,0,0,0
18545.5155,0,0,0,0
18530.3429,0,0,0,0
