PPG,HR,RR,HRV,SpO2
18839.5558,63,10,52,80.6
18845.9019,0,0,0,0
18860.3199,0,0,0,0
18882.3859,0,0,0,0
18911.5072,0,0,0,0
18946.9398,0,0,0,0
18987.8085,0,0,0,0
19033.1311,0,0,0,0
19081.8449,0,0,0,0
19132.8345,0,0,0,0
19184.9616,0,0,0,0
19237.0938,0,0,0,0
19288.1334,0,0,0,0
19337.0448,0,0,0,0
19382.8795,0,0,0,0
19424.7981,0,0,0,0
19462.089,0,0,0,0
19494.1836,0,0,0,0
19520.666,0,0,0,0
19541.2796,0,0,0,0
19555.9282,0,0,0,0
19564.6727,0,0,0,0
19567.7237,0,0,0,0
19565.4296,0,0,0,0
19558.2613,0,0,0,0
19546.7939,0,0,0,0
19531.6854,0,0,0,0
19513.654,0,0,0,0
19493.4543,0,0,0,0
19471.8525,0,0,0,0
19449.603,0,0,0,0
19427.4251,0,0,0,0
19405.9821,0,0,0,0
19385.8623,0,0,0,0
19367.5637,0,0,0,0
19351.4809,0,0,0,0
19337.8966,0,0,0,0
19326.9768,0,0,0,0
19318.769,0,0,0,0
19313.2059,0,0,0,0
19310.1113,0,0,0,0
19309.2103,0,0,0,0
19310.1421,0,0,0,0
19312.4758,0,0,0,0
19315.7275,0,0,0,0
19319.3794,0,0,0,0
19322.8998,0,0,0,0
19325.7622,0,0,0,0
19327.4652,0,0,0,0
19327.5499,0,0,0,0
19325.6169,0,0,0,0
19321.3397,0,0,0,0
19314.4767,0,0,0,0
19304.8791,0,0,0,0
19292.4967,0,0,0,0
19277.3789,0,0,0,0
19259.6739,0,0,0,0
19239.6237,0,0,0,0
19217.5562,0,0,0,0
19193.8746,0,0,0,0
19169.0448,0,0,0,0
19143.5804,0,0,0,0
19118.0265,0,0,0,0
19092.943,0,0,0,0
19068.887,0,0,0,0
19046.3965,0,0,0,0
19025.9741,0,0,0,0
19008.0724,0,0,0,0
18993.0817,0,0,0,0
18981.3193,0,0,0,0
18973.0217,0,0,0,0
18968.3399,0,0,0,0
19235.0161,0,0,0,0
19235.1106,0,0,0,0
19235.5318,0,0,0,0
19236.2788,0,0,0,0
19237.3418,0,0,0,0
19238.7021,0,0,0,0
19240.3333,0,0,0,0
19242.2019,0,0,0,0
19244.2687,0,0,0,0
19246.4902,0,0,0,0
19248.8202,0,0,0,0
19251.2115,0,0,0,0
19253.6177,0,0,0,0
19255.9949,0,0,0,0
19258.3031,0,0,0,0
19260.5078,0,0,0,0
19262.5809,0,0,0,0
19264.5018,0,0,0,0
19266.2583,0,0,0,0
19267.8462,0,0,0,0
19269.2698,0,0,0,0
19270.5413,0,0,0,0
19271.6799,0,0,0,0
19272.7114,0,0,0,0
19273.6662,0,0,0,0
19274.5785,0,0,0,0
19275.484,0,0,0,0
19276.419,0,0,0,0
19277.4182,0,0,0,0
19278.513,0,0,0,0
19279.7304,0,0,0,0
19281.091,0,0,0,0
19282.6085,0,0,0,0
19284.2885,0,0,0,0
19286.128,0,0,0,0
19288.1152,0,0,0,0
19290.2295,0,0,0,0
19292.4424,0,0,0,0
19294.7181,0,0,0,0
19297.0143,0,0,0,0
19299.2843,0,0,0,0
19301.4779,0,0,0,0
19303.5438,0,0,0,0
19305.4312,0,0,0,0
19307.0916,0,0,0,0
19308.4809,0,0,0,0
19309.561,0,0,0,0
19310.3014,0,0,0,0
19310.6809,0,0,0,0
19310.6878,0,0,0,0
19310.3213,0,0,0,0
19309.5918,0,0,0,0
19308.5204,0,0,0,0
19307.1387,0,0,0,0
19305.488,0,0,0,0
19303.618,0,0,0,0
19301.5853,0,0,0,0
19299.4515,0,0,0,0
19297.2813,0,0,0,0
19295.1403,0,0,0,0
19293.0925,0,0,0,0
19291.1985,0,0,0,0
19289.513,0,0,0,0
19288.0827,0,0,0,0
19286.945,0,0,0,0
19286.1259,0,0,0,0
19285.6393,0,0,0,0
19285.4862,0,0,0,0
19285.6543,0,0,0,0
19286.1181,0,0,0,0
19286.8397,0,0,0,0
19287.7696,0,0,0,0
19288.8485,0,0,0,0
19290.0086,0,0,0,0
19291.1762,0,0,0,0
19292.2738,0,0,0,0
19293.2226,0,0,0,0
19293.9453,0,0,0,0
19294.3687,0,0,0,0
19294.4262,0,0,0,0
19294.0601,0,0,0,0
19293.2239,0,0,0,0
19291.8839,0,0,0,0
19290.0209,0,0,0,0
19287.6309,0,0,0,0
19284.7257,0,0,0,0
19281.3332,0,0,0,0
19277.4963,0,0,0,0
19273.2728,0,0,0,0
19268.7332,0,0,0,0
19263.9592,0,0,0,0
19259.0418,0,0,0,0
19254.0781,0,0,0,0
19249.1691,0,0,0,0
19244.4169,0,0,0,0
19239.9214,0,0,0,0
19235.7778,0,0,0,0
19232.0737,0,0,0,0
19228.8866,0,0,0,0
19226.2821,0,0,0,0
19224.3114,0,0,0,0
19223.0103,0,0,0,0
19241.7541,0,0,0,0
19242.0291,0,0,0,0
19242.6313,0,0,0,0
19243.5576,0,0,0,0
19244.7965,0,0,0,0
19246.3284,0,0,0,0
19248.1261,0,0,0,0
19250.1562,0,0,0,0
19252.3794,0,0,0,0
19254.7527,0,0,0,0
19257.2303,0,0,0,0
19259.765,0,0,0,0
19262.3104,0,0,0,0
19264.822,0,0,0,0
19267.2585,0,0,0,0
19269.5837,0,0,0,0
19271.767,0,0,0,0
19273.7849,0,0,0,0
19275.6214,0,0,0,0
19277.2681,0,0,0,0
19278.7249,0,0,0,0
19279.9993,0,0,0,0
19281.1063,0,0,0,0
19282.067,0,0,0,0
19282.9085,0,0,0,0
19283.6617,0,0,0,0
19284.3606,0,0,0,0
19285.0405,0,0,0,0
19285.7365,0,0,0,0
19286.4821,0,0,0,0
19287.3075,0,0,0,0
19288.238,0,0,0,0
19289.2935,0,0,0,0
19290.4868,0,0,0,0
19291.8233,0,0,0,0
19293.3002,0,0,0,0
19294.9066,0,0,0,0
19296.6236,0,0,0,0
19298.4246,0,0,0,0
19300.2765,0,0,0,0
19302.14,0,0,0,0
19303.9717,0,0,0,0
19305.7249,0,0,0,0
19307.3515,0,0,0,0
19308.8038,0,0,0,0
19310.036,0,0,0,0
19311.0058,0,0,0,0
19311.6763,0,0,0,0
19312.0173,0,0,0,0
19312.0063,0,0,0,0
19311.6299,0,0,0,0
19310.884,0,0,0,0
19309.7743,0,0,0,0
19308.3166,0,0,0,0
19306.5362,0,0,0,0
19304.4669,0,0,0,0
19302.1509,0,0,0,0
19299.6367,0,0,0,0
19296.9779,0,0,0,0
19294.2314,0,0,0,0
19291.4559,0,0,0,0
19288.7094,0,0,0,0
19286.0477,0,0,0,0
19283.5224,0,0,0,0
19281.179,0,0,0,0
19279.0558,0,0,0,0
19277.1818,0,0,0,0
19275.5765,0,0,0,0
19274.2488,0,0,0,0
19273.1966,0,0,0,0
19272.4071,0,0,0,0
19271.8569,0,0,0,0
19271.5133,0,0,0,0
19271.3349,0,0,0,0
19271.2734,0,0,0,0
19271.2751,0,0,0,0
19271.2832,0,0,0,0
19271.2394,0,0,0,0
19271.0865,0,0,0,0
19270.77,0,0,0,0
19270.241,0,0,0,0
19269.4573,0,0,0,0
19268.386,0,0,0,0
19267.0041,0,0,0,0
19265.3003,0,0,0,0
19263.2756,0,0,0,0
19260.9436,0,0,0,0
19258.3304,0,0,0,0
19255.4747,0,0,0,0
19252.4262,0,0,0,0
19249.2447,0,0,0,0
19245.9988,0,0,0,0
19242.7634,0,0,0,0
19239.618,0,0,0,0
19236.6443,0,0,0,0
19233.9237,0,0,0,0
19231.5348,0,0,0,0
19229.5512,0,0,0,0
19228.039,0,0,0,0
19227.055,0,0,0,0
19226.6444,0,0,0,0
19226.84,0,0,0,0
19227.6604,0,0,0,0
19229.1099,0,0,0,0
19231.1778,0,0,0,0
19233.8387,0,0,0,0
19237.0533,0,0,0,0
19240.7693,0,0,0,0
19244.9226,0,0,0,0
19249.4394,0,0,0,0
19254.2381,0,0,0,0
19259.2314,0,0,0,0
19264.329,0,0,0,0
19269.4398,0,0,0,0
19274.4747,0,0,0,0
19279.3485,0,0,0,0
19283.9827,0,0,0,0
19288.3068,0,0,0,0
19292.2608,0,0,0,0
19295.796,0,0,0,0
19298.8761,0,0,0,0
19301.4781,0,0,0,0
19303.592,0,0,0,0
19305.2209,0,0,0,0
19306.3805,0,0,0,0
19307.0975,0,0,0,0
19307.4089,0,0,0,0
19307.36,0,0,0,0
19307.0028,0,0,0,0
19306.3936,0,0,0,0
19305.5915,0,0,0,0
19304.6557,0,0,0,0
19303.644,0,0,0,0
19302.6105,0,0,0,0
19301.604,0,0,0,0
19300.6665,0,0,0,0
19299.832,0,0,0,0
19299.1257,0,0,0,0
19298.5635,0,0,0,0
19298.1517,0,0,0,0
19297.8873,0,0,0,0
19297.7586,0,0,0,0
19297.7458,0,0,0,0
19297.8225,0,0,0,0
19297.957,0,0,0,0
19298.1136,0,0,0,0
19298.2545,0,0,0,0
19298.3414,0,0,0,0
19298.3373,0,0,0,0
19298.2079,0,0,0,0
19297.9234,0,0,0,0
19297.4596,0,0,0,0
19296.7989,0,0,0,0
19295.931,0,0,0,0
19294.8539,0,0,0,0
19293.5731,0,0,0,0
